cota_m,area_km2,volume_hm3
280.0,0.0,0.0
280.5,0.0,0.0
281.0,0.0,0.0
281.5,0.0,0.0
282.0,0.0,0.0
282.5,0.0,0.0
283.0,0.0,0.0
283.5,0.0,0.0
284.0,0.0,0.0
284.5,0.0,0.0
285.0,0.0,0.0
285.5,0.0,0.0
286.0,0.0,0.0
286.5,0.0,0.0
287.0,0.0,0.0
287.5,0.0,0.0
288.0,0.0,0.0
288.5,0.0,0.0
289.0,0.0,0.0
289.5,0.0,0.0
290.0,0.0,0.0
290.5,0.0,0.0
291.0,0.0,0.0
291.5,0.0,0.0
292.0,0.0,0.0
292.5,0.3516942280883789,0.08792355702209473
293.0,0.3732265348510742,0.269153747756958
293.5,0.3947588255004883,0.4611500878448486
294.0,0.4279544206542969,0.6668283993835449
294.5,0.4647387243652344,0.8900016856384276
295.0,0.5060089002075195,1.132688591781616
295.5,0.5562508228149414,1.3982535225372312
296.0,0.6091842468261719,1.6896122899475094
296.5,0.6773697522583008,2.011250789718628
297.0,0.725817319152832,2.362047557571411
297.5,0.7706761604614257,2.7361709274749755
298.0,0.8146378861694336,3.1324994391326904
298.5,0.858599549987793,3.550808798171997
299.0,0.9007668499145508,3.990650398147583
299.5,0.9375511367797852,4.450229894821167
300.0,0.9949704551391602,4.933360292800903
300.5,1.0434180216064453,5.4429574119873045
301.0,1.0909683779907227,5.976554011886597
301.5,1.1510791832885743,6.537065902206421
302.0,1.2138814772949218,7.128306067352295
302.5,1.2515628509521484,7.744667149414062
303.0,1.3009073991088866,8.382784711929322
303.5,1.3502520469970702,9.045574573455811
304.0,1.3960078950805663,9.73213955897522
304.5,1.4462496013183594,10.442703933074952
305.0,1.4937997866821289,11.177716280075074
305.5,1.541349941040039,11.936503712005617
306.0,1.5862085373535155,12.718393331604005
306.5,1.6319643161010742,13.522936544967653
307.0,1.6768229141235351,14.350133352523805
307.5,1.7198871901245116,15.199310878585816
308.0,1.7584655733032226,16.06889906944275
308.5,1.8087070182495117,16.960692217330934
309.0,1.8436966243896484,17.873793127990723
309.5,1.8831720951538087,18.805510307876588
310.0,1.929824864807129,19.758759547866823
310.5,1.9764776643676758,20.735335180160526
311.0,2.019541732421875,21.734340029357913
311.5,2.0608114663085937,22.75442832904053
312.0,2.095801048400879,23.7935814577179
312.5,2.1307906385498048,24.85022937945557
313.0,2.1630886649169923,25.92369920532227
313.5,2.189106551879883,27.011748009521487
314.0,2.2169187526245118,28.113254335647586
314.5,2.240245164428711,29.22754531491089
315.0,2.264468778198242,30.35372380056763
315.5,2.276131964172363,31.48887398616028
316.0,2.293178246948242,32.63120153894043
316.5,2.304841478515625,33.7807064703064
317.0,2.314710367553711,34.93559443182373
317.5,2.324579237487793,36.09541683308411
318.0,2.329065073791504,37.25882791090393
318.5,2.3335509318237304,38.42448191230774
319.0,2.338933965942383,39.59260313674927
319.5,2.3407283287353517,40.7625187104187
320.0,2.3434198474731445,41.93355575447083
320.5,2.347008526245117,43.10616284790039
321.0,2.351494378479004,44.28078857408142
321.5,2.351494378479004,45.45653576332092
322.0,2.35418590826416,46.63295583500671
